# real imag
-5.21470218841353361e-01 -1.27414466877269261e-01
-1.05766586480658953e-01 1.96076710447551650e-01
-7.22776955159473988e-02 3.76351093018245930e-01
4.37559651396335125e-01 1.73389752540653308e-02
2.91206930724459689e-02 -1.03595740845506157e-01
-3.11975013645032273e-01 -2.72710814454010075e-01
-2.78030772962641504e-01 -5.41434347090725243e-01
1.98471826948815239e-01 5.70891035875282504e-02
3.25699207171500804e-01 -1.82981390747629369e-01
-3.39180236016264569e-01 -3.74318366643532241e-01
5.71116411987450556e-01 3.95879069215471363e-02
-1.42153460065839149e-01 -3.11875065825306767e-02
2.02064074506515728e-01 -1.10852366344122988e-01
1.08981525535084403e-01 -3.37814206517747517e-01
1.47611099292354553e-01 1.55027943119621009e-01
-3.91292400163511356e-01 1.07639382686156027e-03
-7.90833287223957349e-02 2.52067115668047959e-01
-3.17024284209522889e-01 -5.45863743594184464e-02
-4.53327315460883340e-01 1.38975195067563562e-01
3.01817529523915384e-01 1.02729676891720412e+00
4.15506616845431109e-01 -3.01804792709399750e-02
-4.79791791642819876e-02 3.87719053216944776e-01
3.61100686484995936e-01 -2.85995637515546741e-01
-7.30132804937093927e-02 -1.17553709823260716e-01
2.60611355281087864e-01 5.41997532552537797e-01
3.37531709279334013e-01 2.13827406958337518e-01
-7.77357629935868988e-01 -1.02052746255925975e+00
-2.39849435060903421e-01 3.36531222992076662e-01
-8.66974419575949340e-02 -4.06369657504717707e-01
-3.72834100514062780e-02 -1.03159453137925919e-01
-9.66932295504112638e-01 -1.89385066343266639e+00
-2.42900348642184349e-02 3.66312491762270653e-01
7.77774092608804590e-01 1.47181877402591185e-02
-7.09925477218894208e-01 -3.29074610397337430e-01
-5.69945339344327007e-01 -1.49017867568116774e-01
2.58550887552277786e-01 -1.05271157624837686e-01
1.59160846041190296e-01 -7.42223102883132757e-03
-1.32924557337767840e-01 -4.51527612222145713e-01
-3.04441160477292250e-01 -1.60219926402361323e-01
3.36057984665978138e-01 2.24593245480602638e-01
-4.91067464349359106e-01 5.67325290567159690e-02
2.20720620916533411e-02 -1.15172564216887735e-01
-1.08812798343756484e-01 -1.87053195284769103e-01
-3.42708496576576982e-01 -2.60809103266914755e-01
-4.10119186431320282e-01 -1.64078081895694339e-01
-4.16353799105783184e-01 1.63517910337261096e-01
1.03949818445331035e-01 5.26968002266298072e-02
4.18805683082685398e-01 -5.73385842334706575e-01
4.82975797466424384e-01 4.88806537715060940e-01
1.00850145705490446e-01 1.41076854172681898e-01
-2.03177226823866186e-01 -1.70724061850104469e-01
1.51521780488621111e-01 4.28336514435154081e-01
-3.88159077630886418e-01 -3.13330889903080279e-01
-1.10891068612119198e-01 -4.23069873566826959e-01
4.71517801668226433e-01 2.32791340459954921e-01
-1.74148132300216307e-01 -8.71705142483475970e-01
4.15842350454502518e-01 4.31632094769308194e-01
8.87061272456623251e-01 2.11001078747359488e-01
1.63127032231661417e-01 1.96276229324219509e-01
-3.01820638268861866e-02 1.20004300963621136e-01
-3.92022811382979341e-01 -5.19616749707237813e-01
3.75161354335199426e-01 3.78128364661503513e-01
9.74467213059289961e-01 8.95487571737865640e-01
-6.14359851999748963e-01 -1.00644495584390303e+00
3.41587262544146453e-01 -2.67421895383382291e-01
-1.78842803282849017e-02 5.98420353239313418e-01
-3.88968680376545861e-01 -3.35634513967270065e-01
6.21856239704619493e-02 -1.40966562344286700e-01
-8.97286891204144565e-02 1.79472260942777906e-01
-3.51622122675029625e-02 -7.26212431451284779e-01
3.13737115795639787e-01 2.90825106224653573e-01
-2.16201180923980885e-01 -2.79173730021746003e-01
1.03237916067340091e-01 5.02328807005086642e-01
-1.86420503180561226e+00 -3.88081798608374273e-02
-5.83974287320711216e-01 8.64734022881145231e-02
-1.66983199447051645e-02 4.61367768107559029e-01
-4.51318146006090437e-01 1.41272240651152514e-01
1.55919983577320009e-01 6.05503307257269918e-02
-3.56429843847980932e-01 -2.42087840965485912e-01
6.02903283531692091e-01 1.67896289083391465e-01
1.89574863316070263e-01 4.64090401118191831e-01
1.42132919240046252e+00 -1.11431656819272376e-01
9.15413167714266174e-01 7.27449235650506676e-01
2.36661279076841258e-01 -2.65542035833277790e-01
-3.24962707495232983e-01 -6.91462564610541841e-02
4.85018558099386488e-01 -3.16583007804251693e-02
-1.10366472862418977e-01 -6.02794349037097943e-02
3.12681942474747621e-02 -5.17219350914115750e-01
2.55254832455323710e-01 3.25850311477896226e-01
1.67385882402751041e-02 3.65082401603370410e-01
-5.24294081847884397e-01 -4.36932481182226162e-01
-3.44955089014237326e-01 4.35522656124208152e-01
2.88204837747008003e-01 1.39494909732784250e-01
1.97778574156911968e-01 6.56762259167581353e-01
3.95082941260277654e-01 -2.48967099494987798e-01
-6.55763235013565454e-02 2.38553691422881187e-01
-3.15318898463628594e-01 1.51029842593832092e-01
4.85999754517061011e-01 -4.06647876764998362e-03
6.05667684190049349e-01 -4.70385477229141591e-01
5.89515121537373066e-01 3.51940867744905073e-01
2.17482213478037478e-01 7.66007917205721849e-03
2.56187342030795351e-01 4.96425956843955740e-01
-1.30530041299196931e-01 -4.63816721508159446e-01
2.12297182964257120e-01 -3.14793608177355910e-01
1.93087592806261248e-02 -8.98079944825894982e-02
-3.95515094177251225e-01 -4.13792583970747307e-01
2.47471429159446255e-01 -3.48905075101798023e-02
5.13255057161500106e-01 -7.66502732369123696e-02
1.25720713298755560e-01 5.87713951966907927e-02
4.57352493401909033e-01 2.45306758808164521e-01
-1.61613066834996044e-01 9.66717976571599413e-01
-2.58623832074304782e-01 -1.87420517733163372e-01
4.28718264573733909e-02 -5.69328958115319028e-01
-6.13967413669053275e-01 -2.25312397615227977e-01
-1.16952258433131201e-01 1.27299427428502143e-01
1.22821634540730418e-01 1.47594467660322609e-02
3.85368357609739198e-01 5.50374384912239112e-01
-2.10861919745017751e-02 -2.73302212991711035e-01
2.22361360690554628e-02 1.64326630102319821e-01
3.63603839669613738e-01 -3.40035225631242499e-03
4.71305536474831310e-01 8.74546244335292489e-02
-5.91800676172045792e-01 -1.15608948342279763e-01
-9.60103870452305996e-02 -2.12620036753392666e-01
4.60993414510934701e-02 7.73879045813651717e-02
-2.74956986642743761e-01 -2.74073936541570695e-01
-3.04554100663169958e-01 -2.26224159413154796e-01
9.13107834663533791e-02 2.31486066083893965e-02
-4.44330943381365806e-01 3.15720161409787148e-01
-2.99889062104516102e-01 6.25317188153818593e-02
-2.52617945852825432e-01 4.05576556817223988e-01
5.67514732316438258e-02 -3.65527709150781754e-01
6.73832518880788101e-01 4.22812293586713323e-02
1.27235059566257358e-01 -2.55603757121811770e-01
-5.24091249763200401e-02 -1.68240956500030181e-01
-2.37555279297719385e-02 4.14811623972506704e-01
-1.94804226224613158e-01 2.98077008470422511e-01
-2.03315731212740408e-01 -4.86948367147465699e-01
-9.11844983989774094e-02 -1.63491015630151726e-01
-3.21525004332174291e-01 -1.37476763008223618e-01
-2.94708682214288031e-01 -3.39070556661574152e-01
3.41598713755525904e-02 -9.75276300677696550e-03
5.07007481968802409e-01 2.92431710918287013e-01
3.40379946045935078e-01 9.90966131891674040e-04
1.48758426654113401e-01 -4.62470223456025842e-01
4.06250705972415471e-01 -3.42876923515426202e-01
3.82196871740200506e-01 -7.79176789862435909e-02
-6.72879918146507938e-01 -7.73857381137679767e-03
-5.52116865963205583e-02 5.44256666571806602e-01
-1.86750832531744820e-01 -2.32298084835781238e-01
1.81407277376010867e-02 1.25272757797654033e+00
4.54291114047000677e-01 1.84262545486709145e-01
-2.36775328506265814e-01 -2.48002216343825549e-01
-9.79237961407831980e-02 -7.68660695875875377e-01
-2.90027483321457225e-01 -1.69354319784429441e-01
1.09785674425331159e-01 4.95466469061411952e-01
-2.39485533118351135e-01 -1.61739505173492670e-02
1.20725091358092507e-01 -2.98503195976037916e-01
-1.79486598822390597e-01 2.70023219521523528e-01
-4.45894703178552620e-01 -2.81025319315035937e-01
1.84777111889112111e-01 -1.79925211782394845e-01
-5.41028190831872702e-01 1.96314408087490400e-03
1.27241988147598767e-01 3.59736493501273957e-01
-4.38426748436231528e-01 -4.37752544281005629e-01
9.33353423171632834e-02 3.33864711037117290e-01
8.09107721197200869e-01 6.53489514631273360e-01
-9.75892291522372224e-02 -9.45853741522507563e-01
-4.06196540948974949e-01 2.13071476807370874e-01
3.69095213248725684e-01 1.89417947567495526e-01
-2.12411489157952660e-01 4.88540598045272945e-01
-1.67270041932450042e-01 3.73023742833211713e-02
2.65137835565399937e-01 -3.09734631709039754e-01
1.58009456368725931e-01 9.37020753523473138e-01
1.05100628966500409e-01 -2.81528455679557643e-01
-2.13448241697467844e-01 -6.23383904765544422e-02
-3.29841101416147753e-01 2.26591668609407770e-01
1.35752247073416488e-01 4.83842348915599296e-01
-3.77536876128184873e-01 1.43732761252989782e-01
-2.66239860758072155e-01 4.30921760549457578e-01
2.06138083013736262e-01 1.48783841356599555e-01
1.79044609876559485e-01 4.49395423205487532e-02
-1.03616368814410373e-01 -9.04001573953738535e-02
1.23940889731754739e-01 -1.55807639169133288e-01
-3.38063579005438708e-01 1.29916714874663164e-01
1.20475288431416500e-01 5.97028259779559256e-02
-5.36611170567937612e-01 -1.94336232247304674e-01
4.29444636870967344e-01 -2.35108984885228550e-01
-7.83853670964861776e-02 -3.61972438375589706e-02
4.93566847432449704e-03 -2.27723977937688643e-01
-6.50737549220905986e-01 -7.57453746862111893e-02
-5.49381946474440164e-01 1.81573243692855657e-01
2.00846933127137778e-01 5.59347500006658227e-01
-1.65479901361818837e-02 -1.21146175804246858e-01
-2.78507399550939394e-01 -2.18456399185208539e-01
4.64579334105895414e-01 -9.93358044075006719e-02
6.75792463355174705e-02 4.88359550878867177e-01
1.76202351744579114e-02 -6.25144404597445663e-02
-1.19507369506405697e-02 -6.06238092853131072e-02
-8.23405155638188835e-02 4.59153291646810513e-01
-1.22188760245009367e-01 4.85580385433439177e-01
-2.09602692873544577e-01 2.09694911921291111e-01
-2.85947103192156216e-01 -5.04283794475576697e-01
5.23673600892470975e-02 4.35067857307201766e-01
3.27695270784137960e-01 -3.81682569473989153e-01
3.31287434470976083e-01 1.72050626773990523e-01
3.71048019702022946e-01 -2.36079257071440729e-01
3.85206089485925662e-01 2.65315348311876212e-02
5.01814254243053370e-01 -2.03325641076153862e-01
-4.35170892519676111e-01 -9.77391841478070234e-01
-4.44526407434866044e-01 -2.29940641873766310e-01
4.74618644167833004e-01 2.47554932797274030e-01
3.29932908309841844e-01 2.21751680155694769e-01
4.49216797080236707e-01 9.19829771374833127e-01
2.04427490168972104e-01 4.21148405741585907e-01
-1.25607569084049964e-01 -9.66982394566064524e-02
-2.80365958481689943e-02 -2.89875726812770740e-01
4.52342407876765579e-02 -2.94617362763609947e-01
-6.59737282693955707e-01 -4.45895071641199126e-02
2.13881442667917782e-01 4.43091680822370992e-01
-4.70666622649077493e-01 -3.84668785706182903e-01
-2.03452507530889809e-01 -1.20684490676048417e-01
-5.99384406490460098e-01 -2.96977966279832917e-01
2.06243019749274725e-01 -4.02070373789371938e-01
5.73545557871795286e-01 -1.26510662899676302e-01
2.42051129001214699e-01 2.39974086356733979e-01
-3.45573705700587375e-01 1.45608824738883869e-01
-3.51534281325944664e-01 5.14776052922599980e-01
1.67718986805575954e-01 -4.84212288987611650e-01
-2.34485196605817708e-02 -8.30792521845914594e-02
-4.54498025812746675e-01 -4.27892714420828879e-01
1.68287556376383957e-01 3.49301931011383127e-01
1.13954415081006594e-01 -4.35964944635639950e-01
