component	sum_weight_times_abs2	fit_fraction	fit_fraction_percent
X(3872)	11610.877651704019	0.10941478124386855	10.941478124386855
X(3915)(0-)	3559.9028632693175	0.033546645199286	3.3546645199286
chi(c2)(3930)	1875.3390178233938	0.017672204853792787	1.7672204853792788
X(3940)(1.)	5348.881970757826	0.05040503985018298	5.040503985018298
X(3993)	10508.748020872994	0.0990288934516512	9.90288934516512
Psi(4040)	2971.777749042634	0.02800446461247275	2.800446461247275
X(4300)	1227.1760845238055	0.011564259555880653	1.1564259555880652
NR(0-)SPp	16780.161543729566	0.1581273836155266	15.812738361552661
NR(1.)PSp	18665.862290274137	0.1758972319305068	17.58972319305068
NR(0-)SPm	1231.2709625821524	0.011602847524888198	1.1602847524888198
NR(1-)PPm	21658.87518100317	0.20410180530753613	20.410180530753614
X0(2900)	6904.294804379771	0.06506242924310923	6.506242924310923
X1(2900)	5831.196349319782	0.05495011592489159	5.495011592489159
interference		-0.019378102313593316	-1.9378102313593315
