# real imag
4.45979631430408308e-01 -4.49959074673207449e-01
-3.04314053439633560e-02 -4.21745352956492958e-01
3.32775645021903613e-02 -1.23118972670993101e-01
-2.77634099798318768e-01 -3.20509403361748380e-01
-2.92369195829251471e-01 -2.68736883962535977e-01
3.22523418374653259e-01 3.63449661864209017e-01
2.97130045822979583e-01 -8.38989480064562310e-01
-5.58110372742138955e-02 -5.53415161245249920e-01
-3.81244349584017816e-01 -3.49106881885582365e-01
1.06041713382308445e-01 1.32266448135714837e-01
-3.47933264635287176e-01 1.68210314278385370e-01
6.84166755656891112e-01 -2.95711327452817252e-02
-4.29376473502368072e-01 4.82165806881831305e-02
8.45307218763565321e-02 3.93711176732859380e-01
8.92276391385407180e-02 -6.12306735025252791e-01
4.32521448965697830e-02 1.60655041521626102e-01
1.22380263763974817e-01 2.81565427961122827e-01
6.96529754176398064e-01 -4.17627683546564876e-01
4.14455107150614954e-01 1.78358653588772981e-01
1.55991732679279127e-01 4.99068774170949414e-01
-1.98550360609528881e-02 1.46166621140778469e-01
2.98346098292350294e-02 2.14743638638800860e-01
-1.76265507745068245e-01 -1.81896959371308509e-01
-4.70182612948362791e-02 -1.90793651815651083e-01
4.28572073324759717e-02 5.70863395074322377e-01
-2.10820569084687659e-01 -5.19478468696044970e-01
6.67126442670076480e-01 4.41329219934414263e-01
3.88618239490573558e-01 2.60843967321840953e-01
-9.55499365343854545e-02 -3.28347517617856632e-01
3.76395092001856543e-02 -1.44430307481584197e-01
1.24052705126416929e+00 1.60983666288199645e+00
1.17750052197241661e-01 -5.29915866771809522e-03
-6.45802753658124229e-01 5.78270930775306446e-01
5.59475076965093021e-01 2.77059254881226846e-01
2.69646132572958108e-01 1.89955066236079301e-01
-1.09200630665000048e-01 9.71298190460470612e-02
-1.30366749111796215e-01 -6.85226677124283090e-01
-9.96672699558675129e-02 -3.38935020825838151e-01
2.06837965532785495e-01 -2.93885628814191890e-01
-2.56028687053033666e-01 2.97886333262746328e-01
2.46142820871195239e-01 4.08327462774988714e-01
-3.07349134461560980e-01 -3.59521114973145817e-01
-1.28149320046288540e-01 -3.84719038138433778e-01
2.51140700511595982e-01 -1.12332984150086843e-01
1.13151342893410917e-01 -4.13415115780458975e-01
5.18890322710732876e-01 -4.17010334887735062e-02
-1.04099624603991386e-01 5.32377830563867810e-02
3.52164873457043393e-01 9.76567247565479191e-01
-9.76177225951541938e-02 7.65629477463266261e-01
-6.76515504814994700e-02 6.23513790129240214e-02
3.09814118958102236e-01 7.68414882521612219e-02
-2.22859336358643911e-01 -6.46538323639487711e-01
1.56470526728866605e-01 -5.03136167121353783e-01
-1.24491980076288714e-03 -3.70065392101205259e-01
-3.72698059670579451e-01 -3.82993174391029922e-01
2.67182670624579566e-01 -5.20646547159084871e-02
-3.32336751739838399e-01 7.65630507961773565e-01
-3.77331890885098220e-01 2.36524565134844600e-01
1.63046030429884692e-01 2.15532078173351543e-01
6.68826948963350543e-02 6.47584753993109691e-02
